Doc ID,Cosine Similarity,Twitter Handle,Country
334,0.17481387,Bahrain_KUhp2222,Bahrain
286,0.16829339,Bahrain_KUhp2222,Bahrain
282,0.15830012,Bahrain_KUhp2222,Bahrain
333,0.15786935,Bahrain_KUhp2222,Bahrain
317,0.14996848,Bahrain_KUhp2222,Bahrain
316,0.13775586,Bahrain_KUhp2222,Bahrain
331,0.13218983,Bahrain_KUhp2222,Bahrain
325,0.1311843,Bahrain_KUhp2222,Bahrain
309,0.13108747,Bahrain_KUhp2222,Bahrain
332,0.12513645,Bahrain_KUhp2222,Bahrain
307,0.12471737,Bahrain_KUhp2222,Bahrain
329,0.12402446,Bahrain_KUhp2222,Bahrain
321,0.1219611,Bahrain_KUhp2222,Bahrain
285,0.11877263,Bahrain_KUhp2222,Bahrain
308,0.11636323,Bahrain_KUhp2222,Bahrain
305,0.109469295,Bahrain_KUhp2222,Bahrain
299,0.104013145,Bahrain_KUhp2222,Bahrain
319,0.10236798,Bahrain_KUhp2222,Bahrain
330,0.10194006,Bahrain_KUhp2222,Bahrain
303,0.09988476,Bahrain_KUhp2222,Bahrain
313,0.098504156,Bahrain_KUhp2222,Bahrain
288,0.09172598,Bahrain_KUhp2222,Bahrain
310,0.08842663,Bahrain_KUhp2222,Bahrain
322,0.08824794,Bahrain_KUhp2222,Bahrain
306,0.08588157,Bahrain_KUhp2222,Bahrain
300,0.08518021,Bahrain_KUhp2222,Bahrain
304,0.08307442,Bahrain_KUhp2222,Bahrain
302,0.08124733,Bahrain_KUhp2222,Bahrain
315,0.07778615,Bahrain_KUhp2222,Bahrain
318,0.07752156,Bahrain_KUhp2222,Bahrain
312,0.07683345,Bahrain_KUhp2222,Bahrain
311,0.07415101,Bahrain_KUhp2222,Bahrain
298,0.07376503,Bahrain_KUhp2222,Bahrain
291,0.071335666,Bahrain_KUhp2222,Bahrain
326,0.063198894,Bahrain_KUhp2222,Bahrain
314,0.06319826,Bahrain_KUhp2222,Bahrain
290,0.061788384,Bahrain_KUhp2222,Bahrain
323,0.057688244,Bahrain_KUhp2222,Bahrain
301,0.04976632,Bahrain_KUhp2222,Bahrain
289,0.04523274,Bahrain_KUhp2222,Bahrain
297,0.03911329,Bahrain_KUhp2222,Bahrain
327,0.02824672,Bahrain_KUhp2222,Bahrain
342,0.025785564,Bahrain_KUhp2222,Bahrain
339,0.025150103,Bahrain_KUhp2222,Bahrain
343,0.023822747,Bahrain_KUhp2222,Bahrain
341,0.023264607,Bahrain_KUhp2222,Bahrain
349,0.022025358,Bahrain_KUhp2222,Bahrain
338,0.020413393,Bahrain_KUhp2222,Bahrain
345,0.020258246,Bahrain_KUhp2222,Bahrain
344,0.019429645,Bahrain_KUhp2222,Bahrain
348,0.018578833,Bahrain_KUhp2222,Bahrain
346,0.01803065,Bahrain_KUhp2222,Bahrain
292,0.017212093,Bahrain_KUhp2222,Bahrain
347,0.01713199,Bahrain_KUhp2222,Bahrain
340,0.016763387,Bahrain_KUhp2222,Bahrain
337,0.015967697,Bahrain_KUhp2222,Bahrain
328,-0.001346053,Bahrain_KUhp2222,Bahrain
,0.107178067,Bahrain_KUhp2222 Average,
382,0.19525672,Bahrain_LameesDhaif,Bahrain
375,0.16692376,Bahrain_LameesDhaif,Bahrain
371,0.13296333,Bahrain_LameesDhaif,Bahrain
379,0.12602055,Bahrain_LameesDhaif,Bahrain
358,0.12340164,Bahrain_LameesDhaif,Bahrain
365,0.115133286,Bahrain_LameesDhaif,Bahrain
369,0.109532006,Bahrain_LameesDhaif,Bahrain
370,0.096942276,Bahrain_LameesDhaif,Bahrain
367,0.09627717,Bahrain_LameesDhaif,Bahrain
378,0.09315625,Bahrain_LameesDhaif,Bahrain
359,0.09226844,Bahrain_LameesDhaif,Bahrain
381,0.08321394,Bahrain_LameesDhaif,Bahrain
356,0.07672294,Bahrain_LameesDhaif,Bahrain
363,0.07258001,Bahrain_LameesDhaif,Bahrain
360,0.06957627,Bahrain_LameesDhaif,Bahrain
362,0.06512364,Bahrain_LameesDhaif,Bahrain
354,0.06317228,Bahrain_LameesDhaif,Bahrain
380,0.061658233,Bahrain_LameesDhaif,Bahrain
357,0.057844147,Bahrain_LameesDhaif,Bahrain
373,0.05143902,Bahrain_LameesDhaif,Bahrain
353,0.0510361,Bahrain_LameesDhaif,Bahrain
364,0.047105644,Bahrain_LameesDhaif,Bahrain
361,0.046300124,Bahrain_LameesDhaif,Bahrain
368,0.04127173,Bahrain_LameesDhaif,Bahrain
355,0.04097261,Bahrain_LameesDhaif,Bahrain
351,0.030444678,Bahrain_LameesDhaif,Bahrain
350,0.024512714,Bahrain_LameesDhaif,Bahrain
366,0.02205858,Bahrain_LameesDhaif,Bahrain
372,0.021022348,Bahrain_LameesDhaif,Bahrain
374,0.018896768,Bahrain_LameesDhaif,Bahrain
376,0.014540726,Bahrain_LameesDhaif,Bahrain
352,0.013224008,Bahrain_LameesDhaif,Bahrain
377,-0.001697159,Bahrain_LameesDhaif,Bahrain
,0.070269539,Bahrain_LameesDhaif Average,
393,0.40395144,Bahrain_malarab1,Bahrain
390,0.1500969,Bahrain_malarab1,Bahrain
385,0.12594922,Bahrain_malarab1,Bahrain
394,0.09783837,Bahrain_malarab1,Bahrain
395,0.07898849,Bahrain_malarab1,Bahrain
391,0.06442099,Bahrain_malarab1,Bahrain
388,0.05591958,Bahrain_malarab1,Bahrain
386,0.052303173,Bahrain_malarab1,Bahrain
387,0.046955943,Bahrain_malarab1,Bahrain
384,0.026316863,Bahrain_malarab1,Bahrain
389,0.018718315,Bahrain_malarab1,Bahrain
383,0.014035093,Bahrain_malarab1,Bahrain
392,0.005434414,Bahrain_malarab1,Bahrain
,0.087763753,Bahrain_malarab1 Average,
396,0.15437527,Bahrain_MARYAMALKHAWAJA,Bahrain
421,0.119884685,Bahrain_MARYAMALKHAWAJA,Bahrain
417,0.10430512,Bahrain_MARYAMALKHAWAJA,Bahrain
416,0.10373703,Bahrain_MARYAMALKHAWAJA,Bahrain
418,0.09980852,Bahrain_MARYAMALKHAWAJA,Bahrain
413,0.09737696,Bahrain_MARYAMALKHAWAJA,Bahrain
415,0.0956469,Bahrain_MARYAMALKHAWAJA,Bahrain
411,0.09555345,Bahrain_MARYAMALKHAWAJA,Bahrain
420,0.09406395,Bahrain_MARYAMALKHAWAJA,Bahrain
414,0.090004176,Bahrain_MARYAMALKHAWAJA,Bahrain
410,0.08350714,Bahrain_MARYAMALKHAWAJA,Bahrain
412,0.081826635,Bahrain_MARYAMALKHAWAJA,Bahrain
423,0.079385206,Bahrain_MARYAMALKHAWAJA,Bahrain
422,0.07878538,Bahrain_MARYAMALKHAWAJA,Bahrain
419,0.0732454,Bahrain_MARYAMALKHAWAJA,Bahrain
403,0.065620326,Bahrain_MARYAMALKHAWAJA,Bahrain
404,0.056170307,Bahrain_MARYAMALKHAWAJA,Bahrain
408,0.05213224,Bahrain_MARYAMALKHAWAJA,Bahrain
402,0.051978864,Bahrain_MARYAMALKHAWAJA,Bahrain
409,0.051859323,Bahrain_MARYAMALKHAWAJA,Bahrain
397,0.04584173,Bahrain_MARYAMALKHAWAJA,Bahrain
407,0.04522387,Bahrain_MARYAMALKHAWAJA,Bahrain
406,0.044666447,Bahrain_MARYAMALKHAWAJA,Bahrain
400,0.044627678,Bahrain_MARYAMALKHAWAJA,Bahrain
401,0.04386112,Bahrain_MARYAMALKHAWAJA,Bahrain
398,0.0405631,Bahrain_MARYAMALKHAWAJA,Bahrain
399,0.040208995,Bahrain_MARYAMALKHAWAJA,Bahrain
405,0.03916361,Bahrain_MARYAMALKHAWAJA,Bahrain
,0.074050837,Bahrain_MARYAMALKHAWAJA Average,
473,0.4552324,Bahrain_mShareeda,Bahrain
449,0.4540673,Bahrain_mShareeda,Bahrain
469,0.3141933,Bahrain_mShareeda,Bahrain
478,0.27949074,Bahrain_mShareeda,Bahrain
468,0.2715564,Bahrain_mShareeda,Bahrain
451,0.2597494,Bahrain_mShareeda,Bahrain
446,0.24874213,Bahrain_mShareeda,Bahrain
470,0.2463651,Bahrain_mShareeda,Bahrain
464,0.24006814,Bahrain_mShareeda,Bahrain
434,0.2366012,Bahrain_mShareeda,Bahrain
463,0.2199525,Bahrain_mShareeda,Bahrain
479,0.21385452,Bahrain_mShareeda,Bahrain
467,0.21125634,Bahrain_mShareeda,Bahrain
456,0.20896646,Bahrain_mShareeda,Bahrain
445,0.2081069,Bahrain_mShareeda,Bahrain
442,0.20419809,Bahrain_mShareeda,Bahrain
447,0.18659262,Bahrain_mShareeda,Bahrain
441,0.17588425,Bahrain_mShareeda,Bahrain
438,0.17229721,Bahrain_mShareeda,Bahrain
433,0.15997119,Bahrain_mShareeda,Bahrain
439,0.15395243,Bahrain_mShareeda,Bahrain
444,0.14975856,Bahrain_mShareeda,Bahrain
443,0.14526027,Bahrain_mShareeda,Bahrain
466,0.14499791,Bahrain_mShareeda,Bahrain
432,0.14489193,Bahrain_mShareeda,Bahrain
477,0.14095333,Bahrain_mShareeda,Bahrain
440,0.13936205,Bahrain_mShareeda,Bahrain
472,0.1353934,Bahrain_mShareeda,Bahrain
448,0.12709717,Bahrain_mShareeda,Bahrain
474,0.12529276,Bahrain_mShareeda,Bahrain
430,0.12506655,Bahrain_mShareeda,Bahrain
435,0.121312454,Bahrain_mShareeda,Bahrain
476,0.120850235,Bahrain_mShareeda,Bahrain
465,0.118774846,Bahrain_mShareeda,Bahrain
471,0.11351888,Bahrain_mShareeda,Bahrain
427,0.11135115,Bahrain_mShareeda,Bahrain
436,0.10383708,Bahrain_mShareeda,Bahrain
475,0.103560455,Bahrain_mShareeda,Bahrain
429,0.10151459,Bahrain_mShareeda,Bahrain
426,0.098188356,Bahrain_mShareeda,Bahrain
431,0.093254045,Bahrain_mShareeda,Bahrain
428,0.08623654,Bahrain_mShareeda,Bahrain
424,0.08348557,Bahrain_mShareeda,Bahrain
459,0.080071665,Bahrain_mShareeda,Bahrain
452,0.07926974,Bahrain_mShareeda,Bahrain
453,0.07923156,Bahrain_mShareeda,Bahrain
425,0.07764233,Bahrain_mShareeda,Bahrain
450,0.07297933,Bahrain_mShareeda,Bahrain
437,0.06836097,Bahrain_mShareeda,Bahrain
454,0.06078796,Bahrain_mShareeda,Bahrain
458,0.059659787,Bahrain_mShareeda,Bahrain
455,0.04668347,Bahrain_mShareeda,Bahrain
461,0.037515424,Bahrain_mShareeda,Bahrain
462,0.031812303,Bahrain_mShareeda,Bahrain
460,0.020146586,Bahrain_mShareeda,Bahrain
457,-0.006000698,Bahrain_mShareeda,Bahrain
